"index","category","title","description","local_image","web_image","image_url"
45,"burgers-n-sandwiches","Chicken Deluxe","Fried chicken, american cheese, mayo, lettuce, & tomato on a brioche bun.","images/chicken-deluxe.png","images-web/chicken-deluxe.png","https://www.atlwingspot.com/wp-content/uploads/2024/10/Chicken-Deluxe.png"
46,"fries-n-munchies","Waffle Fries","Golden waffle fries, available in small or large servings.","images/waffle-fries.webp","images-web/waffle-fries.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Waffle-Fries.webp"
47,"fries-n-munchies","Cheese Fries","Golden fries topped with melted cheddar cheese.","images/cheese-fries.webp","images-web/cheese-fries.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Cheese-Fries.webp"
48,"fries-n-munchies","Battered Onion Rings","Crispy, golden-battered onion rings, perfectly seasoned for a delightful crunch.","images/battered-onion-rings.avif","images-web/battered-onion-rings.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Battered-Onion-Rings.avif"
49,"fries-n-munchies","Buffalo Ranch Loaded Waffle Fries","Loaded up with crispy chicken, buffalo sauce & ranch.","images/buffalo-ranch-loaded-waffle-fries.avif","images-web/buffalo-ranch-loaded-waffle-fries.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Buffalo-Ranch-Loaded-Waffle-Fries.avif"
50,"fries-n-munchies","Nashville Hot Loaded Waffle Fries","Waffle fries loaded up with crispy chicken topped with Nashville hot sauce and ranch!","images/cajun-fried-corn.jpg","images-web/cajun-fried-corn.jpg","https://www.atlwingspot.com/wp-content/uploads/2024/10/Cajun-Fried-Corn.jpg"
51,"fries-n-munchies","Sweet Potato Fries","Sweet potato fries available in small or large sizes.","images/sweet-potato-fries.webp","images-web/sweet-potato-fries.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Sweet-Potato-Fries.webp"
52,"fries-n-munchies","BBQ Loaded Waffle Fries","Loaded up with crispy chicken, pineapple BBQ sauce, & ranch!","images/bbq-loaded-waffle-fries.avif","images-web/bbq-loaded-waffle-fries.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/BBQ-Loaded-Waffle-Fries.avif"
53,"desserts-n-shakes","Milkshake","SHAKE IT UP! With one of your fan favorite milkshakes. Choose from flavors like Reese’s, Fruity Pebbles, Oreo BLAST, Cinnamon Toast Crunch, or keep it classic with Hershey’s Chocolate, Vanilla, or Strawberry Shortcake!","images/milkshake.avif","images-web/milkshake.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Milkshake.avif"
54,"desserts-n-shakes","Cinnamon Toast Crunch Waffle","Crispy Cinnamon Toast Crunch waffle topped with caramel syrup, powdered suqar, and more Cinnamon Toast Crunch!","images/cinnamon-toast-crunch-waffle.png","images-web/cinnamon-toast-crunch-waffle.png","https://www.atlwingspot.com/wp-content/uploads/2025/03/Cinnamon-Toast-Crunch-Waffle.png"
55,"desserts-n-shakes","Fruity Pebbles Waffle","Crispy Fruity Pebbles waffle topped with strawberry syrup, powdered suqar, and more FRUITY PEBBLES!","images/fruity-pebbles-waffle.avif","images-web/fruity-pebbles-waffle.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Fruity-Pebbles-Waffle.avif"
56,"desserts-n-shakes","Oreo Waffle","Crispy oreo waffle topped with Hershey’s syrup, powdered suqar, and more OREOS!","images/oreo-waffle.avif","images-web/oreo-waffle.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Oreo-Waffle.avif"
57,"desserts-n-shakes","Fried Oreos","Golden, crispy battered Oreos dusted with powdered sugar, offering a delightful blend of crunch and sweetness.","images/fried-oreos.avif","images-web/fried-oreos.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Fried-Oreos.avif"
58,"desserts-n-shakes","Funnel Cake Fries (12)","Lightly dusted with powdered sugar, these crispy funnel cake fries offer a sweet, crunchy treat.","images/funnel-cake-fries.avif","images-web/funnel-cake-fries.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Funnel-Cake-Fries.avif"
59,"beverages","Can Soda","Various sodas and bottled water options including Pepsi, Diet Pepsi, Orange Crush, Ginger Ale, Brisk Iced Tea, and Lemonade.","images/bottled-soda.avif","images-web/bottled-soda.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Bottled-Soda.avif"
60,"beverages","Gatorade","A crisp, satisfying taste to quench thirst and energize without caffeine","images/gatorade.avif","images-web/gatorade.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Gatorade.avif"
61,"beverages","Bottled Water","Pure and refreshing bottled water.","images/bottled-soda.avif","images-web/bottled-soda.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Bottled-Soda.avif"
62,"beverages","Large Soda","Large soda selection: Pepsi, Crush Orange, Ginger Ale.","images/large-soda.avif","images-web/large-soda.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Large-Soda.avif"
63,"beverages","Bottled Soda","Selection of bottled sodas including classic Pepsi variants, Crush flavors, Mountain Dew Baja Blast, Country Time lemonades, Sunny D Fruit Punch, Brisk Iced Tea.","images/bottled-soda.avif","images-web/bottled-soda.webp","https://www.atlwingspot.com/wp-content/uploads/2024/10/Bottled-Soda.avif"
64,"extras","Ranch Cup","Every hero needs a side kick! Our ATL Wing Spot ranch is the perfect addition to any wing or munchie order.","images/ranch-cup.avif","images-web/ranch-cup.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Ranch-Cup.avif"
65,"extras","Blue Cheese Cup","Cup of Blue Cheese Dip","images/blue-cheese-cup.avif","images-web/blue-cheese-cup.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Blue-Cheese-Cup.avif"
66,"extras","Extra Sauce Cup","Add a side cup of your favorite sauce! (Did you know we have over 30!)","images/extra-sauce-cup.avif","images-web/extra-sauce-cup.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Extra-Sauce-Cup.avif"
67,"extras","Cheese Sauce Cup","Cup of Nacho Cheese Sauce","images/cheese-sauce-cup.avif","images-web/cheese-sauce-cup.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Cheese-Sauce-Cup.avif"
68,"extras","Celery","Crisp celery stalks, freshly cut and ready as a refreshing side or snack.","images/celery.avif","images-web/celery.webp","https://www.atlwingspot.com/wp-content/uploads/2025/03/Celery.avif"
